,,,,,,,,,,,,,,,,,,,,,,,,,,," L. 5403114,084.11 "," L. 5400378,983.89 "," L. 2735,100.22 "," L. 3146,097.24 ",86.94%,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,," L. 5403114,084.11 "," L. 5400378,983.89 "," L. 2735,100.22 ",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cia,Mayor,Libro,Año,Periodo,Partida,CC,Descripcion,Sector,Descripcion,Cuenta,Descripcion,Sub-Cta,,Cta Reporte,Descripcion,Descripcion de categoria de repuesto,Referencia 1 convertida,Referncia 1,Descripcion Partida,Orden,Factura,Fecha,FECHA,MES,SEMANA,Codigo Razon,Debito,Credito,Resta D-C,T. Debito,T. Credito,Estadistica,# Evento,#Linea,Analisis 4,Tipo Prov. / Cliente,Prov. / Clie.,Usuario,Estatus ,Bodega o Banco,,Vehiculo
CRSG01,LHLDGR,LHBOOK,LHYEAR,LHPERD,LHJNEN,CRSG02,DESC02,CRSG03,DESC03,CRSG04,DESC04,CRSG05,CRSG052,CRSG06,DESC05,DESC06,DESC07,LHJRF1,LHLDES,LHJRF2,LHDREF,HHJDAT,FECHA,MES,SEMANA,LHREAS,LHDRAM,LHCRAM,RLHDLHC,LHDRAT,LHCRAT,LHSTAT,HHTRNO,LHJNLN,LAANB4,LAANB5,LAANB6,LHUSER,HHSTAT,LAANB1,COMPARA,VEH
50,50TRANSL,LEMPIRAS,2019,1,IN0000001,670,TRANSP.-EQUIPO DE TRANSPORTE,110,ZONA NORTE,61028,GASTO VAR. MANTEN. DE EQUIPO,4530,4530,LLANTAS,LLANTAS & NEUMATICOS,LLANTAS,1626415001,1626415001,LLANTA CAB.CIS.FUR.RIN 11R24.5,TRANSACC INIC,000000,20190104,04/01/2019,enero,W1,CF01,"10,361.74",0.00,"10,361.74","10,361.74",0.00,-2,501375,2,R,C18,00520811,JABLANCA,3,TL4,FALSO,C18
50,50TRANSL,LEMPIRAS,2019,1,IN0000001,670,TRANSP.-EQUIPO DE TRANSPORTE,110,ZONA NORTE,61028,GASTO VAR. MANTEN. DE EQUIPO,4530,4530,LLANTAS,LLANTAS & NEUMATICOS,LLANTAS,1626414005,1626414005,LLANTA REENCAUCHADA 11R22.5,TRANSACC INIC,000000,20190104,04/01/2019,enero,W1,CF01,"6,400.00",0.00,"6,400.00","6,400.00",0.00,-2,501375,6,R,F33,00520813,JABLANCA,3,TL4,FALSO,F33
50,50TRANSL,LEMPIRAS,2019,1,IN0000001,670,TRANSP.-EQUIPO DE TRANSPORTE,110,ZONA NORTE,61028,GASTO VAR. MANTEN. DE EQUIPO,4530,4530,LLANTAS,LLANTAS & NEUMATICOS,LLANTAS,1626414005,1626414005,LLANTA REENCAUCHADA 11R22.5,TRANSACC INIC,000000,20190104,04/01/2019,enero,W1,CF01,"6,400.00",0.00,"6,400.00","6,400.00",0.00,-2,501375,8,R,F35,00520752,JABLANCA,3,TL4,FALSO,F35
50,50TRANSL,LEMPIRAS,2019,1,IN0000001,670,TRANSP.-EQUIPO DE TRANSPORTE,110,ZONA NORTE,61028,GASTO VAR. MANTEN. DE EQUIPO,4530,4530,LLANTAS,LLANTAS & NEUMATICOS,LLANTAS,1626414001,1626414001,LLANTA CAB.CIS.FUR.RIN 11R22.5,TRANSACC INIC,000000,20190104,04/01/2019,enero,W1,CF01,"5,239.64",0.00,"5,239.64","5,239.64",0.00,-1,501375,54,R,T07,00520756,JABLANCA,3,TL4,FALSO,T07
50,50TRANSL,LEMPIRAS,2019,1,IN0000001,670,TRANSP.-EQUIPO DE TRANSPORTE,110,ZONA NORTE,61028,GASTO VAR. MANTEN. DE EQUIPO,4530,4530,LLANTAS,LLANTAS & NEUMATICOS,LLANTAS,1626415005,1626415005,LLANTA REENCAUCHA. 275/80R22.5,TRANSACC INIC,000000,20190104,04/01/2019,enero,W1,CF01,"16,142.60",0.00,"16,142.60","16,142.60",0.00,-4,501375,230,R,T39,00520726,JABLANCA,3,TL4,FALSO,T39
